Virginia_Tech_2018,Alabama_2018,0,6.72,10.64,0.577,0.504,0.134,0.146,0.226,1.709,0.259,0.697,0.519,0.478,0.155,0.141,0.278,1.302,0.281,0.685
Villanova_2018,Alabama_2018,1,10.24,10.64,0.595,0.485,0.119,0.144,0.265,1.389,0.229,0.747,0.519,0.478,0.155,0.141,0.278,1.302,0.281,0.685
Michigan_State_2018,Bucknell_2018,1,7.1,-3.46,0.569,0.427,0.145,0.112,0.279,1.294,0.268,0.728,0.539,0.478,0.13,0.132,0.253,1.477,0.306,0.695
Arizona_2018,Buffalo_2018,0,6.84,0.25,0.563,0.499,0.134,0.131,0.276,1.314,0.281,0.734,0.549,0.484,0.128,0.14,0.307,1.129,0.208,0.734
Purdue_2018,Butler_2018,1,8.74,10.55,0.577,0.47,0.123,0.141,0.24,1.582,0.265,0.689,0.54,0.519,0.126,0.155,0.266,1.378,0.202,0.743
Arkansas_2018,Butler_2018,0,9.85,10.55,0.538,0.504,0.116,0.146,0.29,1.226,0.255,0.727,0.54,0.519,0.126,0.155,0.266,1.378,0.202,0.743
Purdue_2018,Cal_State_Fullerton_2018,1,8.74,-1.02,0.577,0.47,0.123,0.141,0.24,1.582,0.265,0.689,0.516,0.472,0.156,0.141,0.246,1.534,0.316,0.756
Kansas_2018,Clemson_2018,1,11.87,9.25,0.575,0.491,0.132,0.143,0.268,1.366,0.191,0.713,0.529,0.472,0.136,0.138,0.247,1.526,0.253,0.701
Auburn_2018,Clemson_2018,0,7.29,9.25,0.508,0.497,0.123,0.16,0.312,1.1,0.308,0.722,0.529,0.472,0.136,0.138,0.247,1.526,0.253,0.701
Auburn_2018,College_of_Charleston_2018,1,7.29,-3.29,0.508,0.497,0.123,0.16,0.312,1.1,0.308,0.722,0.527,0.495,0.115,0.138,0.252,1.481,0.277,0.738
Kentucky_2018,Davidson_2018,1,10.73,2.57,0.518,0.468,0.136,0.128,0.307,1.13,0.307,0.692,0.574,0.512,0.119,0.129,0.209,1.896,0.196,0.685
Kansas_2018,Duke_2018,1,11.87,9.71,0.575,0.491,0.132,0.143,0.268,1.366,0.191,0.713,0.559,0.464,0.13,0.135,0.324,1.044,0.246,0.728
Xavier_2018,Florida_State_2018,0,9.45,8.5,0.559,0.499,0.132,0.127,0.253,1.474,0.32,0.76,0.532,0.484,0.135,0.149,0.297,1.182,0.256,0.714
Missouri_2018,Florida_State_2018,0,9.19,8.5,0.537,0.467,0.16,0.126,0.271,1.345,0.286,0.725,0.532,0.484,0.135,0.149,0.297,1.182,0.256,0.714
Texas_Tech_2018,Florida_2018,1,9.6,10.08,0.52,0.463,0.135,0.167,0.297,1.182,0.276,0.703,0.507,0.486,0.109,0.154,0.306,1.137,0.234,0.731
Cincinnati_2018,Georgia_State_2018,1,3.53,-2.78,0.512,0.433,0.124,0.17,0.338,0.981,0.249,0.684,0.54,0.471,0.13,0.157,0.256,1.45,0.205,0.697
Florida_State_2018,Gonzaga_2018,1,8.5,2.59,0.532,0.484,0.135,0.149,0.297,1.182,0.256,0.714,0.57,0.471,0.123,0.139,0.274,1.323,0.227,0.716
Michigan_2018,Houston_2018,1,9.41,4.16,0.545,0.476,0.11,0.155,0.246,1.534,0.203,0.721,0.533,0.455,0.132,0.146,0.299,1.173,0.234,0.703
Duke_2018,Iona_2018,1,9.71,-2.19,0.559,0.464,0.13,0.135,0.324,1.044,0.246,0.728,0.539,0.525,0.128,0.146,0.253,1.476,0.223,0.659
Maryland-Baltimore_County_2018,Kansas_State_2018,0,-3.84,8.74,0.531,0.509,0.139,0.167,0.279,1.294,0.198,0.676,0.525,0.491,0.135,0.164,0.263,1.4,0.248,0.732
Creighton_2018,Kansas_State_2018,0,8.1,8.74,0.575,0.496,0.126,0.129,0.204,1.951,0.194,0.721,0.525,0.491,0.135,0.164,0.263,1.4,0.248,0.732
Villanova_2018,Kansas_2018,1,10.24,11.87,0.595,0.485,0.119,0.144,0.265,1.389,0.229,0.747,0.575,0.491,0.132,0.143,0.268,1.366,0.191,0.713
Kansas_State_2018,Kentucky_2018,1,8.74,10.73,0.525,0.491,0.135,0.164,0.263,1.4,0.248,0.732,0.518,0.468,0.136,0.128,0.307,1.13,0.307,0.692
Buffalo_2018,Kentucky_2018,0,0.25,10.73,0.549,0.484,0.128,0.14,0.307,1.129,0.208,0.734,0.518,0.468,0.136,0.128,0.307,1.13,0.307,0.692
North_Carolina_2018,Lipscomb_2018,1,11.78,-3.8,0.52,0.501,0.126,0.13,0.325,1.036,0.208,0.687,0.518,0.511,0.147,0.157,0.271,1.344,0.291,0.691
Tennessee_2018,Loyola_(IL)_2018,0,10.12,1.81,0.508,0.467,0.134,0.155,0.32,1.062,0.269,0.71,0.577,0.474,0.154,0.155,0.187,2.168,0.231,0.706
Nevada_2018,Loyola_(IL)_2018,0,4.93,1.81,0.548,0.494,0.105,0.139,0.258,1.441,0.269,0.709,0.577,0.474,0.154,0.155,0.187,2.168,0.231,0.706
Miami_(FL)_2018,Loyola_(IL)_2018,0,6.96,1.81,0.531,0.49,0.131,0.149,0.285,1.256,0.192,0.712,0.577,0.474,0.154,0.155,0.187,2.168,0.231,0.706
Kansas_State_2018,Loyola_(IL)_2018,0,8.74,1.81,0.525,0.491,0.135,0.164,0.263,1.4,0.248,0.732,0.577,0.474,0.154,0.155,0.187,2.168,0.231,0.706
Wichita_State_2018,Marshall_2018,0,5.46,0.44,0.551,0.494,0.124,0.129,0.302,1.153,0.257,0.726,0.548,0.497,0.138,0.143,0.224,1.734,0.256,0.681
Virginia_2018,Maryland-Baltimore_County_2018,0,9.07,-3.84,0.527,0.443,0.112,0.167,0.257,1.449,0.184,0.732,0.531,0.509,0.139,0.167,0.279,1.294,0.198,0.676
Texas_A&M_2018,Michigan_2018,0,10.62,9.41,0.514,0.469,0.145,0.12,0.296,1.19,0.212,0.688,0.545,0.476,0.11,0.155,0.246,1.534,0.203,0.721
Loyola_(IL)_2018,Michigan_2018,0,1.81,9.41,0.577,0.474,0.154,0.155,0.187,2.168,0.231,0.706,0.545,0.476,0.11,0.155,0.246,1.534,0.203,0.721
Florida_State_2018,Michigan_2018,0,8.5,9.41,0.532,0.484,0.135,0.149,0.297,1.182,0.256,0.714,0.545,0.476,0.11,0.155,0.246,1.534,0.203,0.721
Michigan_2018,Montana_2018,1,9.41,-2.25,0.545,0.476,0.11,0.155,0.246,1.534,0.203,0.721,0.513,0.487,0.131,0.168,0.318,1.072,0.273,0.723
West_Virginia_2018,Murray_State_2018,1,9.36,-3.53,0.504,0.499,0.119,0.178,0.366,0.865,0.24,0.712,0.558,0.467,0.134,0.144,0.287,1.244,0.28,0.724
Cincinnati_2018,Nevada_2018,0,3.53,4.93,0.512,0.433,0.124,0.17,0.338,0.981,0.249,0.684,0.548,0.494,0.105,0.139,0.258,1.441,0.269,0.709
Clemson_2018,New_Mexico_State_2018,1,9.25,-1.1,0.529,0.472,0.136,0.138,0.247,1.526,0.253,0.701,0.519,0.455,0.137,0.155,0.305,1.142,0.184,0.711
Gonzaga_2018,North_Carolina-Greensboro_2018,1,2.59,-3.87,0.57,0.471,0.123,0.139,0.274,1.323,0.227,0.716,0.525,0.47,0.155,0.175,0.319,1.067,0.185,0.725
