School,SOS,FG,FGA,3P,FT,FTA,ORB,DRB,TOV,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_DRB,opp_TOV
Abilene Christian 2019,-7.34,897,1911,251,457,642,325,785,407,753,1737,191,464,643,295,803,560
Arizona State 2019,6.04,899,2012,240,600,882,399,952,466,828,2007,292,546,774,343,875,476
Auburn 2019,10.92,1097,2439,454,540,760,457,912,466,940,2153,323,547,774,424,988,683
Baylor 2019,9.26,869,1966,274,430,635,446,835,446,795,1869,246,466,682,338,748,421
Belmont 2019,-2.6,1042,2094,343,441,598,286,989,376,895,2110,253,396,569,314,852,403
Bradley 2019,-0.9,812,1874,240,465,672,313,882,440,779,1892,246,481,664,313,850,433
Buffalo 2019,2.62,1083,2344,344,527,767,452,1018,433,916,2180,236,482,687,363,970,553
UC-Irvine 2019,-2.3,987,2159,252,449,640,429,1042,441,809,2118,241,494,698,379,832,419
Central Florida 2019,5.58,819,1763,229,518,798,315,900,393,764,1938,233,367,565,371,771,400
Cincinnati 2019,5.5,872,2018,232,534,758,442,822,365,766,1869,284,378,570,332,756,476
Colgate 2019,-3.83,955,1995,320,418,563,322,918,456,884,2033,277,413,580,327,785,422
Duke 2019,11.98,1157,2418,278,551,803,495,1072,488,960,2415,253,403,579,441,907,540
Fairleigh Dickinson 2019,-7.24,921,1939,269,509,702,323,832,477,908,2041,277,422,608,389,797,508
Florida State 2019,10.26,960,2171,272,579,778,418,973,492,842,2067,269,532,737,348,875,529
Florida 2019,11.22,857,2015,291,435,603,375,826,420,806,1916,231,446,644,390,852,527
Gardner-Webb 2019,-4.43,955,1962,281,527,741,271,919,407,871,2101,310,416,579,393,836,468
Georgia State 2019,0.65,903,1968,330,462,694,273,837,391,872,2051,304,443,631,428,908,512
Gonzaga 2019,5.01,1177,2239,287,602,791,354,1089,394,877,2256,239,407,584,382,812,501
Houston 2019,4.61,982,2203,333,490,697,448,1054,410,749,2035,233,527,759,360,876,452
Iona 2019,-5.5,857,1897,297,521,699,283,869,406,900,2021,314,394,576,369,880,437
Iowa State 2019,9.3,974,2047,294,450,615,327,903,379,877,2097,276,355,495,388,825,440
Iowa 2019,9.84,914,2006,285,627,849,357,889,427,943,2104,281,418,606,363,855,457
Kansas State 2019,9.18,806,1878,241,383,574,320,817,385,717,1728,233,358,531,279,819,504
Kansas 2019,12.79,989,2128,260,487,691,374,1002,472,898,2201,309,420,612,385,878,455
Kentucky 2019,10.29,978,2050,215,635,859,427,1001,466,854,2134,283,403,572,337,746,449
Liberty 2019,-3.88,963,1977,322,406,524,270,904,395,790,1894,231,398,588,300,804,482
Louisiana State 2019,9.16,988,2162,236,603,802,460,895,452,900,2085,281,477,691,388,812,508
Louisville 2019,11.04,854,1967,294,534,687,345,952,412,819,2007,239,447,643,330,846,380
Marquette 2019,6.96,893,1969,319,524,692,331,961,467,819,2020,233,492,725,341,805,402
